"Codigo";"UF";"Municipio";"Total";"Unipessoa";"TotalNuclear";"CasalSFilhos";"CasalCFilhos";"HomemCFilhos";"MulherCFilhos";"Classe";"TotalFamEstendida";"EstCasalSFilhos";"EstCasalCFilhos";"EstHomemCFilhos";"EstMulherCFilhos";"EstOutros";"TotalComposta";"CompCasalSFilhos";"CompCasalCFilhos";"CompHomemCFilhos";"CompMulherCFilhos";"CompOutros"
5214101;"GO";"Mutunópolis";1311;16,86;886;28,1;56,55;3,39;11,96;"Até 5 mil";190;18,95;41,05;2,63;19,47;17,89;14;28,57;14,29;NA;21,43;35,71
3144201;"MG";"Nacip Raydan";909;14,3;589;20,37;62,99;2,04;14,6;"Até 5 mil";166;15,66;40,36;3,61;28,92;11,45;24;16,67;50;NA;4,17;29,17
3532157;"SP";"Nantes";845;10,77;604;23,18;65,4;1,32;10,1;"Até 5 mil";135;22,96;37,04;2,96;21,48;15,56;15;13,33;13,33;NA;33,33;40
3532207;"SP";"Narandiba";1336;10,78;954;21,07;63,63;2,83;12,47;"Até 5 mil";223;12,11;47,53;4,48;18,39;17,49;15;13,33;33,33;NA;13,33;40
3144375;"MG";"Natalândia";1042;16,7;682;19,65;62,46;3,37;14,52;"Até 5 mil";174;11,49;44,83;2,87;24,14;16,67;12;8,33;16,67;NA;NA;75
3144409;"MG";"Natércia";1569;14,72;1141;21,82;64,86;3,16;10,17;"Até 5 mil";186;9,14;30,65;5,38;16,67;38,17;11;9,09;27,27;9,09;18,18;36,36
1714302;"TO";"Nazaré";1223;10,06;792;20,45;65,53;2,9;11,11;"Até 5 mil";291;17,53;43,64;3,09;23,37;12,37;17;23,53;29,41;NA;17,65;29,41
4312674;"RS";"Nicolau Vergueiro";618;14,56;454;32,16;58,37;1,76;7,71;"Até 5 mil";57;17,54;45,61;1,75;17,54;17,54;17;5,88;58,82;NA;17,65;17,65
3532702;"SP";"Nipoã";1388;11,53;950;26,74;62,11;1,79;9,37;"Até 5 mil";244;18,03;48,77;2,87;16,8;13,52;34;11,76;26,47;2,94;5,88;52,94
4116406;"PR";"Nossa Senhora das Graças";1249;10,01;912;25,33;61,29;2,3;11,07;"Até 5 mil";198;21,21;40,4;1,52;20,71;16,16;14;21,43;28,57;NA;21,43;28,57
2206753;"PI";"Nossa Senhora de Nazaré";1231;6,66;786;17,56;73,03;1,4;8,02;"Até 5 mil";334;18,26;48,5;2,69;20,36;10,18;29;17,24;34,48;6,9;13,79;27,59
4116505;"PR";"Nova Aliança do Ivaí";441;11,11;322;18,01;67,08;3,73;11,18;"Até 5 mil";64;21,88;34,38;4,69;21,88;17,19;6;NA;33,33;NA;50;16,67
4312757;"RS";"Nova Alvorada";981;6,93;705;27,94;64,54;1,84;5,67;"Até 5 mil";190;12,63;70;1,05;9,47;6,84;18;22,22;27,78;NA;NA;50
5214705;"GO";"Nova América";775;12,77;558;28,85;56,27;2,33;12,54;"Até 5 mil";113;18,58;32,74;3,54;21,24;23,89;5;NA;20;NA;40;40
4116604;"PR";"Nova América da Colina";1057;10,79;727;20,08;66,44;1,93;11,55;"Até 5 mil";208;9,13;52,4;4,33;23,08;11,06;8;25;37,5;NA;12,5;25
4312807;"RS";"Nova Araçá";1296;8,18;931;30,18;59,94;1,83;8,06;"Até 5 mil";233;15,88;55,79;3;15,02;10,3;26;3,85;7,69;NA;7,69;80,77
5214804;"GO";"Nova Aurora";733;17,33;504;26,39;56,15;1,98;15,48;"Até 5 mil";87;24,14;33,33;2,3;17,24;22,99;15;53,33;13,33;NA;13,33;20
3144672;"MG";"Nova Belém";1174;10,82;860;27,09;62,56;2,44;7,91;"Até 5 mil";161;22,36;41,61;1,86;20,5;13,66;26;23,08;38,46;3,85;7,69;26,92
4312955;"RS";"Nova Boa Vista";667;10,49;482;37,76;53,73;1,45;7,05;"Até 5 mil";110;10,91;55,45;5,45;20;8,18;5;NA;NA;NA;NA;100
5106208;"MT";"Nova Brasilândia";1450;16,28;947;22,81;62,83;2,43;11,93;"Até 5 mil";231;20,35;38,53;2,6;21,21;17,32;36;16,67;30,56;2,78;11,11;38,89
4313003;"RS";"Nova Bréscia";1050;11,71;784;29,59;61,1;0,89;8,42;"Até 5 mil";134;12,69;59,7;2,99;13,43;11,19;9;22,22;33,33;NA;11,11;33,33
3532843;"SP";"Nova Canaã Paulista";745;12,75;537;36,69;53,45;0,74;9,12;"Até 5 mil";105;25,71;38,1;1,9;9,52;24,76;8;NA;NA;NA;50;50
4313011;"RS";"Nova Candelária";914;7,77;697;35,58;58,11;1,15;5,16;"Até 5 mil";138;15,22;65,22;2,9;5,8;10,87;8;50;NA;NA;NA;50
3532868;"SP";"Nova Castilho";380;12,63;276;28,99;59,78;2,9;8,33;"Até 5 mil";55;20;52,73;3,64;9,09;14,55;1;NA;NA;NA;NA;100
2107258;"MA";"Nova Colinas";1188;6,82;835;13,17;75,57;2,4;8,86;"Até 5 mil";255;15,29;56,86;1,18;16,08;10,59;17;NA;64,71;NA;NA;35,29
4211405;"SC";"Nova Erechim";1336;7,34;1004;28,49;61,35;1,89;8,27;"Até 5 mil";217;12,9;60,37;4,15;15,21;7,37;17;17,65;29,41;NA;NA;52,94
4313037;"RS";"Nova Esperança do Sul";1589;10,89;1191;30,56;60,54;1,76;7,14;"Até 5 mil";197;10,66;56,35;2,54;16,24;14,21;28;17,86;28,57;3,57;17,86;32,14
5108808;"MT";"Nova Guarita";1505;10,96;1096;23,45;66,61;1,55;8,39;"Até 5 mil";233;21,89;48,5;5,15;14,59;9,87;11;9,09;45,45;9,09;NA;36,36
3533106;"SP";"Nova Guataporanga";760;15,13;529;31,95;51,8;2,27;13,99;"Até 5 mil";112;13,39;46,43;2,68;24,11;13,39;4;25;25;25;NA;25
5214879;"GO";"Nova Iguaçu de Goiás";931;13,96;648;24,07;61,27;2,31;12,35;"Até 5 mil";136;21,32;40,44;1,47;21,32;15,44;17;17,65;23,53;NA;NA;58,82
3533205;"SP";"Nova Independência";958;11,06;657;27,4;61,49;1,07;10,05;"Até 5 mil";182;20,33;40,11;1,1;20,88;17,58;13;23,08;30,77;NA;7,69;38,46
