"Codigo";"UF";"Municipio";"Adequado_2000";"Adequado_2010";"Semi_2000";"Semi_2010";"Inadequado_2000";"Inadequado_2010";"Classe"
1703073;"TO";"Barra do Ouro";0,27;13,51;42,23;53,94;57,49;32,54;"Até 5 mil"
4301875;"RS";"Barra do Quaraí";45,58;46,53;46,06;42;8,36;11,47;"Até 5 mil"
4301925;"RS";"Barra do Rio Azul";8,09;17,26;28,05;68,06;63,86;14,68;"Até 5 mil"
4301958;"RS";"Barra Funda";NA;32,17;60,76;66,85;39,24;0,97;"Até 5 mil"
2201309;"PI";"Barreiras do Piauí";NA;0,25;51,71;80,9;48,29;18,84;"Até 5 mil"
4102752;"PR";"Bela Vista da Caroba";0,08;1,12;28,8;53,25;71,12;45,62;"Até 5 mil"
2201556;"PI";"Bela Vista do Piauí";5,47;25,53;25,87;65,38;68,66;9,08;"Até 5 mil"
2700805;"AL";"Belém";2,66;4,99;37,52;56,87;59,82;38,14;"Até 5 mil"
2201572;"PI";"Belém do Piauí";NA;11,25;26,83;54,77;73,17;33,98;"Até 5 mil"
3106101;"MG";"Belmiro Braga";45,37;35,48;30,49;48,11;24,14;16,41;"Até 5 mil"
4202156;"SC";"Belmonte";NA;5,94;47,95;70,67;52,05;23,39;"Até 5 mil"
4302055;"RS";"Benjamin Constant do Sul";NA;24,64;13,51;65,06;86,49;10,31;"Até 5 mil"
3506201;"SP";"Bento de Abreu";85,18;91,65;2,45;6,61;12,37;1,74;"Até 5 mil"
3106655;"MG";"Berizal";13,9;14,8;64,96;56,88;21,13;28,32;"Até 5 mil"
2502052;"PB";"Bernardino Batista";NA;0,25;14,34;46,56;85,66;53,19;"Até 5 mil"
1703206;"TO";"Bernardo Sayão";6,67;13,02;43,67;53,65;49,67;33,33;"Até 5 mil"
3106606;"MG";"Bertópolis";22,03;35,22;38,73;31,05;39,24;33,73;"Até 5 mil"
3106804;"MG";"Bias Fortes";33,65;32,81;23,03;39,85;43,32;27,34;"Até 5 mil"
3107000;"MG";"Biquinhas";0,22;1,43;60,67;65,71;39,11;32,86;"Até 5 mil"
4103008;"PR";"Boa Esperança";16,43;0,66;59,21;81,9;24,36;17,45;"Até 5 mil"
4103024;"PR";"Boa Esperança do Iguaçu";1,83;NA;34,55;68,54;63,62;31,46;"Até 5 mil"
4302154;"RS";"Boa Vista das Missões";NA;4,84;56,74;89,05;43,26;6,12;"Até 5 mil"
4302220;"RS";"Boa Vista do Cadeado";NA;3,09;NA;72,47;NA;24,44;"Até 5 mil"
4302238;"RS";"Boa Vista do Incra";NA;0,39;NA;80,31;NA;19,31;"Até 5 mil"
