"Codigo";"UF";"Municipio";"Analf_2000";"Analf_2010";"Inadequado_2000";"Inadequado_2010";"AnalfEInadequado_2000";"AnalfEInadequado_2010";"Classe"
4301073;"RS";"Arroio do Padre";NA;8,77;NA;21,64;NA;2,92;"Até 5 mil"
4201604;"SC";"Arroio Trinta";8,98;3;38,02;11;5,99;1;"Até 5 mil"
4201653;"SC";"Arvoredo";29,15;7,28;68,16;41,72;21,52;5,3;"Até 5 mil"
3503950;"SP";"Aspásia";21,08;5,26;31,33;16,67;6,63;0,88;"Até 5 mil"
2501351;"PB";"Assunção";51,79;33,88;35,81;21,21;22,59;10,47;"Até 5 mil"
4102208;"PR";"Atalaia";16,89;8,44;20,32;9,7;3,69;0,84;"Até 5 mil"
4201802;"SC";"Atalanta";6,76;4,19;58,03;11,16;4,79;0,93;"Até 5 mil"
3104809;"MG";"Augusto de Lima";28,14;21,13;41,54;28,54;14,57;6,32;"Até 5 mil"
4301552;"RS";"Áurea";8,45;3,59;62,97;10,77;5,25;0;"Até 5 mil"
5202601;"GO";"Aurilândia";18,04;10,78;24,68;14,22;2,22;0,49;"Até 5 mil"
1702703;"TO";"Aurora do Tocantins";33,62;13,19;37,07;23,01;15,8;2,45;"Até 5 mil"
3504305;"SP";"Avaí";15,45;5,56;36,79;10,35;5,28;1,52;"Até 5 mil"
5202809;"GO";"Avelinópolis";19,21;10,53;25,33;8,95;3,93;2,11;"Até 5 mil"
3504701;"SP";"Balbinos";13,76;9,9;12,84;3,96;0;0,99;"Até 5 mil"
5203104;"GO";"Baliza";18,58;17,29;57,52;63,39;13,72;11,53;"Até 5 mil"
3105202;"MG";"Bandeira";54,66;37,03;51,74;41,06;34;15,62;"Até 5 mil"
4202081;"SC";"Bandeirante";22,82;12,56;82,28;42,79;19,82;5,58;"Até 5 mil"
1703057;"TO";"Bandeirantes do Tocantins";35,8;21,51;22,16;33,72;9,66;9,59;"Até 5 mil"
1501253;"PA";"Bannach";41,32;29,48;85,24;56,27;37,15;20,64;"Até 5 mil"
3505005;"SP";"Barão de Antonina";17,53;8,55;26,12;5,58;4,47;0,37;"Até 5 mil"
2501534;"PB";"Baraúna";47,65;33,26;40,49;24,27;21,98;13,03;"Até 5 mil"
2401503;"RN";"Barcelona";65,62;41,69;58,49;22,15;45,07;11,4;"Até 5 mil"
4202099;"SC";"Barra Bonita";17,39;13,85;64,73;24,62;13,04;1,54;"Até 5 mil"
2201176;"PI";"Barra D'Alcântara";60,54;36,87;48,94;7,26;31,33;4,19;"Até 5 mil"
4301859;"RS";"Barra do Guarita";16,46;10,19;39,24;21,89;5,38;3,02;"Até 5 mil"
4102703;"PR";"Barra do Jacaré";14,8;8,43;17,94;18,67;1,79;1,81;"Até 5 mil"
1703073;"TO";"Barra do Ouro";41,79;29,34;65,55;35,33;32,06;16,6;"Até 5 mil"
4301875;"RS";"Barra do Quaraí";14,79;12,02;5,06;10,49;0,78;1,53;"Até 5 mil"
4301925;"RS";"Barra do Rio Azul";11,48;4,17;58,47;13,54;5,46;0;"Até 5 mil"
4301958;"RS";"Barra Funda";12,32;8,16;25,59;0,68;4,27;0;"Até 5 mil"
2201309;"PI";"Barreiras do Piauí";33,91;36,06;55,87;21,21;23,91;12,42;"Até 5 mil"
4102752;"PR";"Bela Vista da Caroba";19,85;14,19;73,47;47,52;15,65;8,25;"Até 5 mil"
2201556;"PI";"Bela Vista do Piauí";30,3;32,4;70,86;8,1;26,57;5,31;"Até 5 mil"
2700805;"AL";"Belém";62,39;42,65;62,52;37,35;41,18;20,24;"Até 5 mil"
2201572;"PI";"Belém do Piauí";66,77;40,68;77,1;27,46;55,81;17,97;"Até 5 mil"
3106101;"MG";"Belmiro Braga";23,16;18,05;32,89;19,17;10,79;6,02;"Até 5 mil"
4202156;"SC";"Belmonte";19,77;12,32;47,67;18,01;11,24;3,79;"Até 5 mil"
4302055;"RS";"Benjamin Constant do Sul";40;27,96;94,55;10,22;39,32;4,3;"Até 5 mil"
3506201;"SP";"Bento de Abreu";4,8;7,55;17,2;1,89;0;0;"Até 5 mil"
