"Codigo";"UF";"Municipio";"ValMedio";"Q2";"Mediana";"Q3";"Classe"
2205540;"PI";"Lagoinha do Piauí";214;63;150;287;"Até 5 mil"
1712009;"TO";"Lajeado";480;146;277;510;"Até 5 mil"
4311429;"RS";"Lajeado do Bugre";328;116;230;473;"Até 5 mil"
4209458;"SC";"Lajeado Grande";1117;340;550;1000;"Até 5 mil"
2918902;"BA";"Lajedão";386;151;250;407;"Até 5 mil"
2919009;"BA";"Lajedinho";195;59;128;252;"Até 5 mil"
2406809;"RN";"Lajes Pintadas";256;93;186;338;"Até 5 mil"
3137908;"MG";"Lamim";353;138;260;473;"Até 5 mil"
2508406;"PB";"Lastro";217;86;170;255;"Até 5 mil"
1712157;"TO";"Lavandeira";302;113;223;387;"Até 5 mil"
3138302;"MG";"Leandro Ferreira";549;255;417;593;"Até 5 mil"
3138351;"MG";"Leme do Prado";304;133;240;408;"Até 5 mil"
4209805;"SC";"Leoberto Leal";659;300;500;750;"Até 5 mil"
4113403;"PR";"Leópolis";486;236;370;525;"Até 5 mil"
4113429;"PR";"Lidianópolis";473;197;333;510;"Até 5 mil"
4209854;"SC";"Lindóia do Sul";711;352;533;817;"Até 5 mil"
4311643;"RS";"Linha Nova";682;375;550;808;"Até 5 mil"
1712405;"TO";"Lizarda";233;35;128;255;"Até 5 mil"
4113601;"PR";"Lobato";624;305;470;667;"Até 5 mil"
2508554;"PB";"Logradouro";227;100;170;300;"Até 5 mil"
3527256;"SP";"Lourdes";570;300;500;700;"Até 5 mil"
3527504;"SP";"Lucianópolis";662;281;428;631;"Até 5 mil"
5105309;"MT";"Luciara";371;150;255;412;"Até 5 mil"
2406908;"RN";"Lucrécia";302;89;181;348;"Até 5 mil"
3527801;"SP";"Lupércio";493;243;370;538;"Até 5 mil"
4113809;"PR";"Lupionópolis";542;255;400;575;"Até 5 mil"
3527900;"SP";"Lutécia";550;211;362;580;"Até 5 mil"
1712454;"TO";"Luzinópolis";287;89;174;340;"Até 5 mil"
4311718;"RS";"Maçambará";440;173;278;500;"Até 5 mil"
3528205;"SP";"Macedônia";580;275;455;655;"Até 5 mil"
