"Codigo";"UF";"Municipio";"Total";"Ate70R$";"Ate1/4";"Ate1/2";"Ate60%";"Classe"
3510153;"SP";"Canitar";32;NA;NA;53,13;31,25;"Até 5 mil"
3112059;"MG";"Cantagalo";1155;8,4;32,73;66,58;57,14;"Até 5 mil"
4304614;"RS";"Canudos do Vale";187;3,74;6,42;31,02;24,6;"Até 5 mil"
4203253;"SC";"Capão Alto";795;2,64;14,84;44,78;35,97;"Até 5 mil"
4304622;"RS";"Capão Bonito do Sul";697;9,33;17,93;51,51;39,74;"Até 5 mil"
4304655;"RS";"Capão do Cipó";818;3,67;14,18;35,82;29,58;"Até 5 mil"
3112208;"MG";"Capela Nova";2041;14,94;32,14;65,51;58,11;"Até 5 mil"
4304697;"RS";"Capitão";144;4,86;7,64;20,14;9,72;"Até 5 mil"
3112653;"MG";"Capitão Andrade";1043;3,45;20,9;57,62;48,71;"Até 5 mil"
2202455;"PI";"Capitão Gervásio Oliveira";2253;45,41;59,57;84,07;77,5;"Até 5 mil"
4304671;"RS";"Capivari do Sul";53;1,89;1,89;41,51;37,74;"Até 5 mil"
3113107;"MG";"Caranaíba";1225;12,08;26,53;60;51,59;"Até 5 mil"
2504074;"PB";"Caraúbas";1477;15,84;39,68;69,74;62,9;"Até 5 mil"
2202554;"PI";"Caridade do Piauí";2253;41,59;60,59;83,89;78,12;"Até 5 mil"
1703867;"TO";"Cariri do Tocantins";1278;4,93;18,86;55,56;43,97;"Até 5 mil"
4304853;"RS";"Carlos Gomes";352;3,69;13,92;28,41;23,01;"Até 5 mil"
3113800;"MG";"Carmésia";597;10,05;27,81;60,47;53,94;"Até 5 mil"
1703883;"TO";"Carmolândia";196;31,12;63,27;82,65;78,57;"Até 5 mil"
3114600;"MG";"Carrancas";665;3,76;18,5;42,86;34,29;"Até 5 mil"
2504108;"PB";"Carrapateira";446;43,5;60,09;86,1;82,51;"Até 5 mil"
1703891;"TO";"Carrasco Bonito";356;24,16;45,79;85,39;72,75;"Até 5 mil"
3114709;"MG";"Carvalhópolis";214;5,14;13,55;35,98;29,44;"Até 5 mil"
3114808;"MG";"Carvalhos";1325;8,23;28,68;61,66;53,36;"Até 5 mil"
3114907;"MG";"Casa Grande";476;NA;17,86;47,48;39,5;"Até 5 mil"
3115003;"MG";"Cascalho Rico";849;1,53;5,65;27,8;20,97;"Até 5 mil"
1703909;"TO";"Caseara";1632;27,7;43,5;74,94;67,22;"Até 5 mil"
4304952;"RS";"Caseiros";229;3,93;16,59;46,29;38,86;"Até 5 mil"
3510906;"SP";"Cássia dos Coqueiros";466;NA;7,3;39,27;30,26;"Até 5 mil"
1100908;"RO";"Castanheiras";2296;7,4;20,03;47,52;39,59;"Até 5 mil"
5205059;"GO";"Castelândia";20;NA;15;15;15;"Até 5 mil"
3115359;"MG";"Catas Altas";377;NA;17,51;59,42;45,62;"Até 5 mil"
3115409;"MG";"Catas Altas da Noruega";1729;18,1;43,2;72,82;63,1;"Até 5 mil"
2504207;"PB";"Catingueira";1619;30,33;52,75;82,33;75,91;"Até 5 mil"
2907400;"BA";"Catolândia";679;24,59;49,19;82,03;75,41;"Até 5 mil"
5205208;"GO";"Caturaí";59;NA;20,34;37,29;30,51;"Até 5 mil"
2504355;"PB";"Caturité";1697;17,21;33,59;61,99;54,33;"Até 5 mil"
4204103;"SC";"Caxambu do Sul";1850;2,27;8,38;27,51;20,05;"Até 5 mil"
3115607;"MG";"Cedro do Abaeté";141;7,8;13,48;43,26;31,21;"Até 5 mil"
4204152;"SC";"Celso Ramos";363;12,67;24,79;61,71;52,89;"Até 5 mil"
1704105;"TO";"Centenário";883;39,07;59,57;82,33;75,88;"Até 5 mil"
4305116;"RS";"Centenário";258;10,08;19,77;36,05;34,5;"Até 5 mil"
4305132;"RS";"Cerro Branco";330;9,7;29,39;53,03;47,27;"Até 5 mil"
4305157;"RS";"Cerro Grande";134;19,4;37,31;61,94;52,24;"Até 5 mil"
4204178;"SC";"Cerro Negro";1375;22,98;44,51;73,82;68,22;"Até 5 mil"
3115904;"MG";"Chácara";241;6,64;19,09;47,72;34,02;"Até 5 mil"
1705102;"TO";"Chapada da Natividade";1252;19,57;40,97;70,69;60,94;"Até 5 mil"
1704600;"TO";"Chapada de Areia";526;9,32;22,81;56,46;42,59;"Até 5 mil"
4204194;"SC";"Chapadão do Lageado";812;7,64;22,78;51,72;45,81;"Até 5 mil"
4305371;"RS";"Charrua";915;13,01;40,98;74,97;69,4;"Até 5 mil"
3116209;"MG";"Chiador";410;4,63;26,59;64,88;53,9;"Até 5 mil"
4305405;"RS";"Chiapetta";209;1,44;18,66;47,85;33,97;"Até 5 mil"
4305447;"RS";"Chuvisca";3303;7,02;22,04;47,14;39,9;"Até 5 mil"
4305504;"RS";"Ciríaco";720;2,36;16,67;43,06;30,97;"Até 5 mil"
3116407;"MG";"Claraval";1274;1,96;12,4;36,19;27,32;"Até 5 mil"
2202711;"PI";"Cocal de Telha";1026;37,62;55,95;78,95;72,12;"Até 5 mil"
2202737;"PI";"Coivaras";1717;27,26;52,94;79,97;74,61;"Até 5 mil"
4305587;"RS";"Colinas";25;NA;NA;8;0;"Até 5 mil"
5205521;"GO";"Colinas do Sul";670;7,91;23,43;50,75;43,13;"Até 5 mil"
4305603;"RS";"Colorado";313;3,83;5,11;21,09;16,29;"Até 5 mil"
1705557;"TO";"Combinado";398;7,04;26,88;57,29;51,26;"Até 5 mil"
3116902;"MG";"Comendador Gomes";1089;2,2;7,07;30,76;22,96;"Até 5 mil"
3115201;"MG";"Conceição da Barra de Minas";1022;4,99;18,59;58,12;44,72;"Até 5 mil"
3117207;"MG";"Conceição das Pedras";226;6,64;19,91;53,98;43,36;"Até 5 mil"
3117405;"MG";"Conceição de Ipanema";1822;9,22;23,16;51,54;43,25;"Até 5 mil"
2202802;"PI";"Conceição do Canindé";1479;36,04;49,97;82,83;73,5;"Até 5 mil"
1705607;"TO";"Conceição do Tocantins";1184;31,33;55,07;80,74;76,01;"Até 5 mil"
2504702;"PB";"Congo";1246;28,33;46,55;74,96;68,22;"Até 5 mil"
3118106;"MG";"Congonhas do Norte";1298;26,89;47,77;76,43;67,64;"Até 5 mil"
5103361;"MT";"Conquista D'Oeste";920;7,07;17,07;42,83;37,61;"Até 5 mil"
4106100;"PR";"Conselheiro Mairinck";308;5,19;12,66;40,91;34,74;"Até 5 mil"
3118502;"MG";"Consolação";174;11,49;13,22;43,1;34,48;"Até 5 mil"
2908804;"BA";"Contendas do Sincorá";1328;19,88;40,59;72,06;65,44;"Até 5 mil"
4305835;"RS";"Coqueiro Baixo";536;4,29;9,7;22,2;19,96;"Até 5 mil"
4305850;"RS";"Coqueiros do Sul";254;5,51;12,2;36,22;19,29;"Até 5 mil"
4204350;"SC";"Cordilheira Alta";1083;1,2;4,89;24,1;17,17;"Até 5 mil"
3119005;"MG";"Cordislândia";472;NA;21,4;62,92;47,88;"Até 5 mil"
5003108;"MS";"Corguinho";904;4,42;14,05;49,78;42,37;"Até 5 mil"
4305871;"RS";"Coronel Barros";157;NA;12,74;25,48;24,2;"Até 5 mil"
2402907;"RN";"Coronel João Pessoa";557;42,73;60,86;82,59;78,1;"Até 5 mil"
2202851;"PI";"Coronel José Dias";1786;47,82;62,09;83,26;75,76;"Até 5 mil"
4204459;"SC";"Coronel Martins";904;7,19;23,34;52,88;47,79;"Até 5 mil"
3119609;"MG";"Coronel Pacheco";297;NA;17,51;51,85;43,77;"Até 5 mil"
4305934;"RS";"Coronel Pilar";264;NA;1,14;11,36;6,82;"Até 5 mil"
3119708;"MG";"Coronel Xavier Chaves";196;NA;13,27;40,31;27,04;"Até 5 mil"
3119807;"MG";"Córrego Danta";1239;1,69;8,64;37,93;29,7;"Até 5 mil"
3119906;"MG";"Córrego do Bom Jesus";288;NA;9,38;42,71;31,25;"Até 5 mil"
5205703;"GO";"Córrego do Ouro";580;3,45;13,45;42,59;29,66;"Até 5 mil"
3120003;"MG";"Córrego Novo";903;15,73;34,33;69,44;57,7;"Até 5 mil"
3512704;"SP";"Corumbataí";509;8,06;18,27;39,29;29,67;"Até 5 mil"
4106555;"PR";"Corumbataí do Sul";1262;9,98;24,96;60,94;50,79;"Até 5 mil"
4305959;"RS";"Cotiporã";204;NA;3,43;17,16;9,31;"Até 5 mil"
3120102;"MG";"Couto de Magalhães de Minas";335;28,06;48,06;78,51;71,94;"Até 5 mil"
4305975;"RS";"Coxilha";222;2,7;6,76;30,18;20,27;"Até 5 mil"
2504850;"PB";"Coxixola";144;11,11;23,61;61,11;60,42;"Até 5 mil"
4306072;"RS";"Cristal do Sul";437;16,48;34,78;65,22;60,18;"Até 5 mil"
5206305;"GO";"Cristianópolis";359;0,56;9,19;42,06;32,03;"Até 5 mil"
1706258;"TO";"Crixás do Tocantins";511;14,29;29,55;68,69;54,79;"Até 5 mil"
5206503;"GO";"Cromínia";365;NA;8,77;45,75;32,88;"Até 5 mil"
3120607;"MG";"Crucilândia";1472;5,43;23,64;56,59;44,57;"Até 5 mil"
3513306;"SP";"Cruzália";309;NA;1,29;26,86;16,83;"Até 5 mil"
4306130;"RS";"Cruzaltense";273;8,79;12,45;30,4;21,25;"Até 5 mil"
3120706;"MG";"Cruzeiro da Fortaleza";130;2,31;17,69;40,77;34,62;"Até 5 mil"
4106571;"PR";"Cruzeiro do Iguaçu";1265;1,98;8,38;30,91;24,82;"Até 5 mil"
4106704;"PR";"Cruzeiro do Sul";980;3,47;11,12;42,35;35,1;"Até 5 mil"
4106852;"PR";"Cruzmaltina";1008;2,58;18,45;53,97;44,84;"Até 5 mil"
5206602;"GO";"Cumari";454;NA;9,25;32,82;22,25;"Até 5 mil"
2801900;"SE";"Cumbe";201;33,33;58,71;90,05;84,58;"Até 5 mil"
4204756;"SC";"Cunhataí";941;2,02;4,57;13,39;10,31;"Até 5 mil"
3120839;"MG";"Cuparaque";491;4,89;25,05;59,47;51,73;"Até 5 mil"
2203230;"PI";"Currais";1674;38,53;55,14;82,92;77,12;"Até 5 mil"
2203271;"PI";"Curral Novo do Piauí";2971;47,05;66;87,38;82,56;"Até 5 mil"
