"Codigo";"UF";"Municipio";"Total";"Adequado";"Semi-Adequado";"Inadequado";"Classe"
4201109;"SC";"Anitápolis";1075;22,42;70,6;6,98;"Até 5 mil"
2200806;"PI";"Antônio Almeida";867;7,61;71,74;20,65;"Até 5 mil"
3103108;"MG";"Antônio Prado de Minas";556;59,17;25;15,83;"Até 5 mil"
5201454;"GO";"Aparecida do Rio Doce";818;64,79;24,45;10,76;"Até 5 mil"
1701101;"TO";"Aparecida do Rio Negro";1250;1,68;74,88;23,44;"Até 5 mil"
3502606;"SP";"Aparecida d'Oeste";1553;81,26;4,64;14,1;"Até 5 mil"
5201504;"GO";"Aporé";1262;16,64;62,28;21,08;"Até 5 mil"
4201273;"SC";"Arabutã";1339;29,95;61,31;8,74;"Até 5 mil"
3103207;"MG";"Araçaí";719;49,93;28,79;21,28;"Até 5 mil"
3103306;"MG";"Aracitaba";700;65,14;19,14;15,71;"Até 5 mil"
5201603;"GO";"Araçu";1299;6,39;84,6;9,01;"Até 5 mil"
5101001;"MT";"Araguaiana";1087;2,3;67,34;30,36;"Até 5 mil"
5101209;"MT";"Araguainha";387;8,01;79,59;12,4;"Até 5 mil"
4300851;"RS";"Arambaré";1331;58,83;34,64;6,54;"Até 5 mil"
3103603;"MG";"Arantina";932;79,94;14,48;5,58;"Até 5 mil"
3503158;"SP";"Arapeí";796;47,99;44,6;7,41;"Até 5 mil"
3103801;"MG";"Arapuá";985;71,57;4,47;23,96;"Até 5 mil"
4101655;"PR";"Arapuã";1156;4,07;63,41;32,53;"Até 5 mil"
4300877;"RS";"Araricá";1688;1,01;98,16;0,83;"Até 5 mil"
3503356;"SP";"Arco-Íris";643;57,85;15,71;26,44;"Até 5 mil"
2501153;"PB";"Areia de Baraúnas";488;36,89;18,85;44,26;"Até 5 mil"
3503505;"SP";"Areias";1082;63,31;20,24;16,45;"Até 5 mil"
5202353;"GO";"Arenópolis";1200;7,83;81,67;10,5;"Até 5 mil"
3104403;"MG";"Argirita";937;67,45;13,87;18,68;"Até 5 mil"
3104452;"MG";"Aricanduva";1299;28,56;20,94;50,5;"Até 5 mil"
4101853;"PR";"Ariranha do Ivaí";803;2,86;50,31;46,82;"Até 5 mil"
2200954;"PI";"Aroeiras do Itaim";669;0,15;67,71;32,14;"Até 5 mil"
2201002;"PI";"Arraial";1250;9,68;60,48;29,84;"Até 5 mil"
4301073;"RS";"Arroio do Padre";708;3,25;75,28;21,47;"Até 5 mil"
4201604;"SC";"Arroio Trinta";1142;63,66;28,55;7,79;"Até 5 mil"
4201653;"SC";"Arvoredo";629;18,28;39,11;42,61;"Até 5 mil"
3503950;"SP";"Aspásia";605;70,41;9,92;19,67;"Até 5 mil"
2501351;"PB";"Assunção";1042;NA;81,96;18,04;"Até 5 mil"
4102208;"PR";"Atalaia";1299;1,08;91,92;7,01;"Até 5 mil"
4201802;"SC";"Atalanta";1067;36,93;51,64;11,43;"Até 5 mil"
3104809;"MG";"Augusto de Lima";1494;15,39;53,08;31,53;"Até 5 mil"
4301552;"RS";"Áurea";1218;19,79;67,08;13,14;"Até 5 mil"
5202601;"GO";"Aurilândia";1362;1,62;84,51;13,88;"Até 5 mil"
1702703;"TO";"Aurora do Tocantins";1105;1,81;71,04;27,15;"Até 5 mil"
3504305;"SP";"Avaí";1562;65,88;22,41;11,72;"Até 5 mil"
5202809;"GO";"Avelinópolis";853;21,34;67,64;11,02;"Até 5 mil"
3504701;"SP";"Balbinos";471;85,99;7,64;6,37;"Até 5 mil"
5203104;"GO";"Baliza";1269;6,38;34,44;59,18;"Até 5 mil"
3105202;"MG";"Bandeira";1517;45,02;13,91;41,07;"Até 5 mil"
4202081;"SC";"Bandeirante";899;6,01;52,06;41,94;"Até 5 mil"
1703057;"TO";"Bandeirantes do Tocantins";915;1,53;65,36;33,11;"Até 5 mil"
1501253;"PA";"Bannach";984;0,71;44,72;54,57;"Até 5 mil"
3505005;"SP";"Barão de Antonina";1025;54,44;38,83;6,73;"Até 5 mil"
2501534;"PB";"Baraúna";1300;0,08;76,85;23,08;"Até 5 mil"
2401503;"RN";"Barcelona";1137;22,25;58,4;19,35;"Até 5 mil"
4202099;"SC";"Barra Bonita";577;4,51;67,76;27,73;"Até 5 mil"
2201176;"PI";"Barra D'Alcântara";1177;0,76;92,01;7,22;"Até 5 mil"
4301859;"RS";"Barra do Guarita";1003;3,39;75,77;20,84;"Até 5 mil"
4102703;"PR";"Barra do Jacaré";868;15,21;67,86;16,94;"Até 5 mil"
1703073;"TO";"Barra do Ouro";1014;13,51;53,94;32,54;"Até 5 mil"
4301875;"RS";"Barra do Quaraí";1212;46,53;42;11,47;"Até 5 mil"
4301925;"RS";"Barra do Rio Azul";620;17,26;68,06;14,68;"Até 5 mil"
4301958;"RS";"Barra Funda";718;32,17;66,85;0,97;"Até 5 mil"
2201309;"PI";"Barreiras do Piauí";796;0,25;80,9;18,84;"Até 5 mil"
4102752;"PR";"Bela Vista da Caroba";1245;1,12;53,25;45,62;"Até 5 mil"
2201556;"PI";"Bela Vista do Piauí";936;25,53;65,38;9,08;"Até 5 mil"
2700805;"AL";"Belém";1303;4,99;56,87;38,14;"Até 5 mil"
2201572;"PI";"Belém do Piauí";933;11,25;54,77;33,98;"Até 5 mil"
3106101;"MG";"Belmiro Braga";1085;35,48;48,11;16,41;"Até 5 mil"
4202156;"SC";"Belmonte";791;5,94;70,67;23,39;"Até 5 mil"
4302055;"RS";"Benjamin Constant do Sul";621;24,64;65,06;10,31;"Até 5 mil"
3506201;"SP";"Bento de Abreu";862;91,65;6,61;1,74;"Até 5 mil"
3106655;"MG";"Berizal";1250;14,8;56,88;28,32;"Até 5 mil"
2502052;"PB";"Bernardino Batista";799;0,25;46,56;53,19;"Até 5 mil"
1703206;"TO";"Bernardo Sayão";1344;13,02;53,65;33,33;"Até 5 mil"
3106606;"MG";"Bertópolis";1272;35,22;31,05;33,73;"Até 5 mil"
3106804;"MG";"Bias Fortes";1207;32,81;39,85;27,34;"Até 5 mil"
3107000;"MG";"Biquinhas";977;1,43;65,71;32,86;"Até 5 mil"
4103008;"PR";"Boa Esperança";1519;0,66;81,9;17,45;"Até 5 mil"
4103024;"PR";"Boa Esperança do Iguaçu";836;NA;68,54;31,46;"Até 5 mil"
4302154;"RS";"Boa Vista das Missões";703;4,84;89,05;6,12;"Até 5 mil"
4302220;"RS";"Boa Vista do Cadeado";810;3,09;72,47;24,44;"Até 5 mil"
4302238;"RS";"Boa Vista do Incra";777;0,39;80,31;19,31;"Até 5 mil"
4302253;"RS";"Boa Vista do Sul";915;2,3;93,11;4,59;"Até 5 mil"
2201804;"PI";"Bocaina";1383;20,25;73,54;6,22;"Até 5 mil"
4202438;"SC";"Bocaina do Sul";1042;2,59;62;35,41;"Até 5 mil"
2401651;"RN";"Bodó";695;29,93;49,21;20,86;"Até 5 mil"
4202503;"SC";"Bom Jardim da Serra";1317;25,97;48,82;25,21;"Até 5 mil"
2502201;"PB";"Bom Jesus";699;0,57;71,1;28,33;"Até 5 mil"
4202537;"SC";"Bom Jesus";766;55,09;21,02;23,89;"Até 5 mil"
3107604;"MG";"Bom Jesus da Penha";1328;70,63;17,77;11,6;"Até 5 mil"
4202578;"SC";"Bom Jesus do Oeste";671;15,2;68,7;16,1;"Até 5 mil"
4103156;"PR";"Bom Jesus do Sul";1191;3,44;82,54;14,02;"Até 5 mil"
1703305;"TO";"Bom Jesus do Tocantins";1050;20,95;53,62;25,43;"Até 5 mil"
4302378;"RS";"Bom Progresso";782;20,33;68,29;11,38;"Até 5 mil"
3507159;"SP";"Bom Sucesso de Itararé";991;62,76;32,69;4,54;"Até 5 mil"
4103222;"PR";"Bom Sucesso do Sul";1026;34,31;39,38;26,32;"Até 5 mil"
5203575;"GO";"Bonópolis";1022;36,99;27,4;35,62;"Até 5 mil"
3507209;"SP";"Borá";239;78,24;9,62;12,13;"Até 5 mil"
3507308;"SP";"Boracéia";1256;89,09;5,25;5,65;"Até 5 mil"
3507456;"SP";"Borebi";701;86,45;5,14;8,42;"Até 5 mil"
4202701;"SC";"Botuverá";1467;31,08;66,12;2,79;"Até 5 mil"
4302584;"RS";"Bozano";702;21,94;65,67;12,39;"Até 5 mil"
4202859;"SC";"Braço do Trombudo";1119;51,39;46,11;2,5;"Até 5 mil"
4302600;"RS";"Braga";1211;6,19;64,82;28,98;"Até 5 mil"
3108701;"MG";"Brás Pires";1459;39,89;30,16;29,95;"Até 5 mil"
4103370;"PR";"Brasilândia do Sul";1067;1,12;86,5;12,37;"Até 5 mil"
1703602;"TO";"Brasilândia do Tocantins";610;4,1;82,3;13,61;"Até 5 mil"
5203609;"GO";"Brazabrantes";1082;3,33;81,52;15,16;"Até 5 mil"
3507753;"SP";"Brejo Alegre";811;82,37;13,19;4,44;"Até 5 mil"
2201988;"PI";"Brejo do Piauí";1152;NA;43,14;56,86;"Até 5 mil"
4302659;"RS";"Brochier";1670;26,41;70,9;2,69;"Até 5 mil"
4202875;"SC";"Brunópolis";895;18,77;51,62;29,61;"Até 5 mil"
3109253;"MG";"Bugre";1240;4,52;63,55;31,94;"Até 5 mil"
5203939;"GO";"Buriti de Goiás";939;1,92;82,85;15,23;"Até 5 mil"
5203962;"GO";"Buritinópolis";962;10,08;59,56;30,35;"Até 5 mil"
3508207;"SP";"Buritizal";1373;80,84;11,43;7,72;"Até 5 mil"
3508306;"SP";"Cabrália Paulista";1380;85,72;4,2;10,07;"Até 5 mil"
3109600;"MG";"Cachoeira da Prata";1116;93,64;6,36;NA;"Até 5 mil"
5204201;"GO";"Cachoeira de Goiás";494;14,17;70,04;15,79;"Até 5 mil"
3109808;"MG";"Cachoeira Dourada";781;87,45;3,84;8,71;"Até 5 mil"
1703826;"TO";"Cachoeirinha";560;11,07;75,89;13,04;"Até 5 mil"
2503407;"PB";"Cacimba de Areia";1031;35,6;18,43;45,97;"Até 5 mil"
4303202;"RS";"Cacique Doble";1453;30,14;57,54;12,32;"Até 5 mil"
4103404;"PR";"Cafeara";854;2,11;88,52;9,37;"Até 5 mil"
4103479;"PR";"Cafezal do Sul";1455;1,1;81,37;17,53;"Até 5 mil"
3508900;"SP";"Caiabu";1390;69,28;19,42;11,29;"Até 5 mil"
3110103;"MG";"Caiana";1574;42,19;42,82;14,99;"Até 5 mil"
4303301;"RS";"Caibaté";1720;15,99;82,33;1,69;"Até 5 mil"
2401909;"RN";"Caiçara do Rio do Vento";892;57,74;32,74;9,53;"Até 5 mil"
2202075;"PI";"Cajazeiras do Piauí";930;30,43;42,15;27,42;"Até 5 mil"
2503753;"PB";"Cajazeirinhas";824;11,41;44,42;44,17;"Até 5 mil"
3110202;"MG";"Cajuri";1199;55,88;23,52;20,6;"Até 5 mil"
5204557;"GO";"Caldazinha";1101;36,06;43,14;20,8;"Até 5 mil"
4203154;"SC";"Calmon";898;52;25,17;22,83;"Até 5 mil"
3110400;"MG";"Camacho";988;48,08;29,76;22,17;"Até 5 mil"
4303558;"RS";"Camargo";835;44,43;54,13;1,44;"Até 5 mil"
3110806;"MG";"Campanário";1035;61,16;17;21,84;"Até 5 mil"
4303673;"RS";"Campestre da Serra";1101;28,34;61,85;9,81;"Até 5 mil"
5204607;"GO";"Campestre de Goiás";1068;1,5;69,38;29,12;"Até 5 mil"
4103958;"PR";"Campina do Simão";1167;0,94;42,59;56,47;"Até 5 mil"
5204656;"GO";"Campinaçu";1208;4,88;57,7;37,42;"Até 5 mil"
2202117;"PI";"Campo Alegre do Fidalgo";1258;0,16;31,56;68,28;"Até 5 mil"
3111150;"MG";"Campo Azul";1020;4,8;61,96;33,24;"Até 5 mil"
4104055;"PR";"Campo Bonito";1312;21,72;54,04;24,24;"Até 5 mil"
4304101;"RS";"Campos Borges";1238;9,53;67,21;23,26;"Até 5 mil"
3509809;"SP";"Campos Novos Paulista";1490;76,71;4,77;18,52;"Até 5 mil"
3111705;"MG";"Canaã";1445;33,22;20,97;45,81;"Até 5 mil"
5102694;"MT";"Canabrava do Norte";1407;0,07;62,83;37,1;"Até 5 mil"
3509957;"SP";"Canas";1205;82,24;16,51;1,24;"Até 5 mil"
2202251;"PI";"Canavieira";1089;6,24;60,51;33,24;"Até 5 mil"
3510104;"SP";"Cândido Rodrigues";868;83,99;8,41;7,6;"Até 5 mil"
2801108;"SE";"Canhoba";1044;3,64;83,81;12,55;"Até 5 mil"
3510153;"SP";"Canitar";1218;84,32;14,94;0,74;"Até 5 mil"
3112059;"MG";"Cantagalo";1187;21,57;52,23;26,2;"Até 5 mil"
4304614;"RS";"Canudos do Vale";600;18,5;69,83;11,67;"Até 5 mil"
4203253;"SC";"Capão Alto";909;16,28;52,7;31,02;"Até 5 mil"
4304622;"RS";"Capão Bonito do Sul";613;1,14;57,75;41,11;"Até 5 mil"
4304655;"RS";"Capão do Cipó";1029;7,58;63,65;28,77;"Até 5 mil"
3112208;"MG";"Capela Nova";1448;34,12;22,86;43,02;"Até 5 mil"
4304697;"RS";"Capitão";855;9,12;85,61;5,26;"Até 5 mil"
3112653;"MG";"Capitão Andrade";1580;64,11;14,49;21,39;"Até 5 mil"
2202455;"PI";"Capitão Gervásio Oliveira";1144;0,35;38,29;61,36;"Até 5 mil"
4304671;"RS";"Capivari do Sul";1275;61,96;36,63;1,41;"Até 5 mil"
3113107;"MG";"Caranaíba";909;35,86;25,63;38,5;"Até 5 mil"
2504074;"PB";"Caraúbas";1191;38,46;24,52;37,03;"Até 5 mil"
2202554;"PI";"Caridade do Piauí";1214;0,08;49,01;50,91;"Até 5 mil"
1703867;"TO";"Cariri do Tocantins";1074;21,6;41,15;37,24;"Até 5 mil"
4304853;"RS";"Carlos Gomes";498;18,07;60,04;21,89;"Até 5 mil"
3113800;"MG";"Carmésia";747;50,74;23,83;25,44;"Até 5 mil"
1703883;"TO";"Carmolândia";664;24,85;66,57;8,58;"Até 5 mil"
3114600;"MG";"Carrancas";1210;60,5;22,4;17,11;"Até 5 mil"
2504108;"PB";"Carrapateira";590;16,95;62,2;20,85;"Até 5 mil"
1703891;"TO";"Carrasco Bonito";938;29;59,49;11,51;"Até 5 mil"
3114709;"MG";"Carvalhópolis";1085;73,64;20;6,36;"Até 5 mil"
3114808;"MG";"Carvalhos";1518;43,15;28,66;28,19;"Até 5 mil"
3114907;"MG";"Casa Grande";615;47,48;31,38;21,14;"Até 5 mil"
3115003;"MG";"Cascalho Rico";1041;37,85;31,22;30,93;"Até 5 mil"
1703909;"TO";"Caseara";1341;4,92;54,06;41,01;"Até 5 mil"
4304952;"RS";"Caseiros";1001;22,08;69,63;8,29;"Até 5 mil"
3510906;"SP";"Cássia dos Coqueiros";837;64,4;18,16;17,44;"Até 5 mil"
1100908;"RO";"Castanheiras";1108;0,72;33,84;65,43;"Até 5 mil"
5205059;"GO";"Castelândia";1203;19,78;79,3;0,91;"Até 5 mil"
3115359;"MG";"Catas Altas";1427;82,55;9,04;8,41;"Até 5 mil"
3115409;"MG";"Catas Altas da Noruega";909;39,82;12,32;47,85;"Até 5 mil"
2504207;"PB";"Catingueira";1307;16,83;50,8;32,36;"Até 5 mil"
2907400;"BA";"Catolândia";759;2,11;69,3;28,59;"Até 5 mil"
5205208;"GO";"Caturaí";1513;15,53;82,95;1,52;"Até 5 mil"
2504355;"PB";"Caturité";1329;19,86;41,53;38,6;"Até 5 mil"
4204103;"SC";"Caxambu do Sul";1417;13,48;44,25;42,27;"Até 5 mil"
3115607;"MG";"Cedro do Abaeté";445;24,27;64,27;11,46;"Até 5 mil"
4204152;"SC";"Celso Ramos";852;22,07;63,97;13,97;"Até 5 mil"
1704105;"TO";"Centenário";702;25,36;34,62;40,03;"Até 5 mil"
4305116;"RS";"Centenário";952;29,94;61,45;8,61;"Até 5 mil"
4305132;"RS";"Cerro Branco";1591;50,85;41,23;7,92;"Até 5 mil"
4305157;"RS";"Cerro Grande";788;16,24;78,43;5,33;"Até 5 mil"
4204178;"SC";"Cerro Negro";1100;6;53,73;40,27;"Até 5 mil"
3115904;"MG";"Chácara";965;63,11;28,7;8,19;"Até 5 mil"
1705102;"TO";"Chapada da Natividade";927;43,91;3,34;52,75;"Até 5 mil"
1704600;"TO";"Chapada de Areia";454;0,44;55,95;43,61;"Até 5 mil"
4204194;"SC";"Chapadão do Lageado";836;8,85;60,29;30,86;"Até 5 mil"
4305371;"RS";"Charrua";929;25,83;51,78;22,39;"Até 5 mil"
3116209;"MG";"Chiador";882;60,66;25,62;13,72;"Até 5 mil"
4305405;"RS";"Chiapetta";1352;10,58;84,47;4,96;"Até 5 mil"
4305447;"RS";"Chuvisca";1500;3,27;30,6;66,13;"Até 5 mil"
4305504;"RS";"Ciríaco";1669;42,24;43,08;14,68;"Até 5 mil"
3116407;"MG";"Claraval";1433;46,41;23,52;30,08;"Até 5 mil"
2202711;"PI";"Cocal de Telha";1328;25,83;50,38;23,8;"Até 5 mil"
2202737;"PI";"Coivaras";1015;0,49;53,4;46,11;"Até 5 mil"
4305587;"RS";"Colinas";848;55,42;43,63;0,94;"Até 5 mil"
5205521;"GO";"Colinas do Sul";1086;0,74;75,23;24,03;"Até 5 mil"
4305603;"RS";"Colorado";1245;2,89;88,27;8,84;"Até 5 mil"
1705557;"TO";"Combinado";1437;7,86;83,79;8,35;"Até 5 mil"
3116902;"MG";"Comendador Gomes";1002;41,22;20,06;38,72;"Até 5 mil"
3115201;"MG";"Conceição da Barra de Minas";1193;37,89;36,63;25,48;"Até 5 mil"
3117207;"MG";"Conceição das Pedras";855;60,35;30,99;8,65;"Até 5 mil"
3117405;"MG";"Conceição de Ipanema";1456;34,68;22,53;42,79;"Até 5 mil"
2202802;"PI";"Conceição do Canindé";1278;36,7;29,81;33,49;"Até 5 mil"
1705607;"TO";"Conceição do Tocantins";1158;5,96;63,64;30,4;"Até 5 mil"
2504702;"PB";"Congo";1478;40,05;32,48;27,47;"Até 5 mil"
3118106;"MG";"Congonhas do Norte";1440;24,1;50,97;24,93;"Até 5 mil"
5103361;"MT";"Conquista D'Oeste";1015;5,62;67,09;27,29;"Até 5 mil"
4106100;"PR";"Conselheiro Mairinck";1194;57,96;32,58;9,46;"Até 5 mil"
3118502;"MG";"Consolação";560;53,04;35,71;11,25;"Até 5 mil"
2908804;"BA";"Contendas do Sincorá";1339;10,83;59,45;29,72;"Até 5 mil"
4305835;"RS";"Coqueiro Baixo";534;4,31;58,43;37,27;"Até 5 mil"
4305850;"RS";"Coqueiros do Sul";863;13,21;76,01;10,78;"Até 5 mil"
4204350;"SC";"Cordilheira Alta";1113;27,49;44,47;28,03;"Até 5 mil"
3119005;"MG";"Cordislândia";1061;78,89;7,63;13,48;"Até 5 mil"
5003108;"MS";"Corguinho";1656;41,06;38,95;19,99;"Até 5 mil"
4305871;"RS";"Coronel Barros";873;38,26;55,56;6,19;"Até 5 mil"
2402907;"RN";"Coronel João Pessoa";1273;0,24;86,96;12,8;"Até 5 mil"
2202851;"PI";"Coronel José Dias";1324;7,02;46,53;46,45;"Até 5 mil"
4204459;"SC";"Coronel Martins";738;11,38;51,08;37,53;"Até 5 mil"
3119609;"MG";"Coronel Pacheco";926;62,1;27,32;10,58;"Até 5 mil"
4305934;"RS";"Coronel Pilar";521;3,45;79,46;17,08;"Até 5 mil"
3119708;"MG";"Coronel Xavier Chaves";997;50,05;43,53;6,42;"Até 5 mil"
3119807;"MG";"Córrego Danta";1208;57,53;5,63;36,84;"Até 5 mil"
3119906;"MG";"Córrego do Bom Jesus";1294;43,59;47,99;8,42;"Até 5 mil"
5205703;"GO";"Córrego do Ouro";952;1,26;75,74;23;"Até 5 mil"
3120003;"MG";"Córrego Novo";997;60,18;10,13;29,69;"Até 5 mil"
3512704;"SP";"Corumbataí";1213;57,3;29,84;12,86;"Até 5 mil"
4106555;"PR";"Corumbataí do Sul";1310;33,59;36,95;29,47;"Até 5 mil"
4305959;"RS";"Cotiporã";1246;57,38;37,32;5,3;"Até 5 mil"
3120102;"MG";"Couto de Magalhães de Minas";1218;65,85;26,52;7,64;"Até 5 mil"
4305975;"RS";"Coxilha";935;13,37;78,61;8,02;"Até 5 mil"
2504850;"PB";"Coxixola";588;31,46;60,37;8,16;"Até 5 mil"
4306072;"RS";"Cristal do Sul";954;12,68;72,22;15,09;"Até 5 mil"
5206305;"GO";"Cristianópolis";1042;3,65;84,26;12,09;"Até 5 mil"
1706258;"TO";"Crixás do Tocantins";490;19,39;44,49;36,12;"Até 5 mil"
5206503;"GO";"Cromínia";1257;38,27;52,11;9,63;"Até 5 mil"
3120607;"MG";"Crucilândia";1612;57,26;11,17;31,58;"Até 5 mil"
3513306;"SP";"Cruzália";779;65,98;20,54;13,48;"Até 5 mil"
4306130;"RS";"Cruzaltense";681;21,59;63,88;14,54;"Até 5 mil"
3120706;"MG";"Cruzeiro da Fortaleza";1242;85,91;10,47;3,62;"Até 5 mil"
4106571;"PR";"Cruzeiro do Iguaçu";1364;2,05;68,62;29,33;"Até 5 mil"
4106704;"PR";"Cruzeiro do Sul";1439;1,04;76,86;22,1;"Até 5 mil"
4106852;"PR";"Cruzmaltina";1053;34,28;34,38;31,34;"Até 5 mil"
5206602;"GO";"Cumari";1035;51,59;32,46;15,94;"Até 5 mil"
2801900;"SE";"Cumbe";1168;11,3;83,48;5,22;"Até 5 mil"
4204756;"SC";"Cunhataí";551;17,97;35,39;46,64;"Até 5 mil"
3120839;"MG";"Cuparaque";1565;72,4;17,19;10,42;"Até 5 mil"
2203230;"PI";"Currais";1131;0,18;61,54;38,28;"Até 5 mil"
2203271;"PI";"Curral Novo do Piauí";1177;0,17;40,44;59,39;"Até 5 mil"
2505303;"PB";"Curral Velho";648;29,94;37,19;32,87;"Até 5 mil"
2203255;"PI";"Curralinhos";1102;13,88;73,59;12,52;"Até 5 mil"
5103437;"MT";"Curvelândia";1513;0,73;64,71;34,57;"Até 5 mil"
1600212;"AP";"Cutias";1032;0,78;72,97;26,26;"Até 5 mil"
5206701;"GO";"Damianópolis";1044;5,36;72,51;22,13;"Até 5 mil"
2505352;"PB";"Damião";1376;0,51;52,4;47,09;"Até 5 mil"
5206800;"GO";"Damolândia";957;20,69;67,29;12,02;"Até 5 mil"
4306304;"RS";"David Canabarro";1508;52,06;42,97;4,97;"Até 5 mil"
5206909;"GO";"Davinópolis";765;1,96;65,88;32,16;"Até 5 mil"
4306320;"RS";"Derrubadas";1055;17,25;72,61;10,14;"Até 5 mil"
3121308;"MG";"Descoberto";1589;76,27;16,55;7,17;"Até 5 mil"
3121506;"MG";"Desterro do Melo";956;38,18;18,41;43,41;"Até 5 mil"
4306353;"RS";"Dezesseis de Novembro";992;12;86,19;1,81;"Até 5 mil"
4107124;"PR";"Diamante do Sul";1070;1,68;40;58,32;"Até 5 mil"
4306379;"RS";"Dilermando de Aguiar";1091;27,68;59,76;12,56;"Até 5 mil"
3121704;"MG";"Diogo de Vasconcelos";1179;28,5;29,01;42,49;"Até 5 mil"
5207105;"GO";"Diorama";856;28,5;39,49;32,01;"Até 5 mil"
3513850;"SP";"Dirce Reis";589;78,27;7,64;14,09;"Até 5 mil"
2802007;"SE";"Divina Pastora";1189;11,77;83,1;5,13;"Até 5 mil"
3121902;"MG";"Divinésia";1043;44,87;32,21;22,91;"Até 5 mil"
3122108;"MG";"Divino das Laranjeiras";1599;59,41;29,21;11,38;"Até 5 mil"
3201803;"ES";"Divino de São Lourenço";1397;30,99;24,7;44,31;"Até 5 mil"
5208301;"GO";"Divinópolis de Goiás";1580;0,89;83,04;16,08;"Até 5 mil"
4306429;"RS";"Dois Irmãos das Missões";714;3,08;81,23;15,69;"Até 5 mil"
4306452;"RS";"Dois Lajeados";1055;57,06;34,79;8,15;"Até 5 mil"
