"Codigo";"UF";"Municipio";"PopTotal";"Urbana";"Rural";"Homem";"Mulher";"H.M";"Classe";"X0.5";"X16.14";"X15.24";"X25.39";"X40.59";"X60.";"Pop15";"Taxa";"Pop15.24";"Taxa15.24";"Pop25.39";"Taxa25.39";"Pop40.59";"Taxa40.59";"Pop60.";"Taxa60.";"TotUnidDom";"X1Resp";"MaisResp";"TotalMasc";"X1RespMasc";"MaisRespMasc";"TotalFem";"X1RespFem";"MaisRespFem";"Taxa15";"X1RespCasal";"MaisRespCasal";"TotalFamilia";"X1RespFamilia";"MaisRespFamilia";"TotalOutros";"X1RespOutros";"MaisRespOutros";"Unipessoa";"TotalNuclear";"CasalSFilhos";"CasalCFilhos";"HomemCFilhos";"MulherCFilhos";"TotalFamEstendida";"EstCasalSFilhos";"EstCasalCFilhos";"EstHomemCFilhos";"EstMulherCFilhos";"EstOutros";"TotalComposta";"CompCasalSFilhos";"CompCasalCFilhos";"CompHomemCFilhos";"CompMulherCFilhos";"CompOutros";"TotalDomPartPerm";"Adequado";"Semi.Adequado";"Inadequado";"ValMedio";"Q2";"Mediana";"Q3";"MediaHomens";"MediaMulheres";"MedianaHomens";"MedianaMulheres";"mediaH.M";"medianaH.M";"Branca";"Preta";"Parda";"Amarela";"Indigena";"Br.Pr";"Br.Pa";"Br.Am";"Br.In";"Pr.Pa";"PopResDPP";"Ate70R.";"Ate1.4";"Ate1.2";"Ate60.";"TotalIndq";"Ate70R.Indq";"Ate1.4Indq";"Ate1.2Indq";"Ate60.Indq";"Total_2000";"Total_2010";"X15.24_2000";"X15.24_2010";"X25.59_2000";"X25.59_2010";"X60._2000";"X60._2010";"Adequado_2000";"Adequado_2010";"Semi_2000";"Semi_2010";"Inadequado_2000";"Inadequado_2010";"Analf_2000";"Analf_2010";"Indq_2000";"Indq_2010";"AnalfEInadequado_2000";"AnalfEInadequado_2010";"Total10";"Taxa10";"RGI";"RGint";"Mesorregiao";"Microrregiao"
3300605;"RJ";"Bom Jesus do Itabapoana";35411;84,51;15,49;48,56;51,44;94,4012441679627;"De 20 a 50 mil";7,19;14,18;16,05;21,47;26,36;14,75;24405;6,85;1629;2,06;4124;3,78;8787;7,78;9865;17,92;11666;77,03;22,94;7331;75,01;24,99;4335;80,44;19,47;1940;64,69;35,26;5352;69,88;30,12;4374;91,24;8,69;15,7;7727;25;56,54;2,58;15,88;1916;13,88;38,36;3,44;26,57;17,75;192;10,42;26,56;2,08;21,88;39,06;11666;77,18;15,04;7,78;580;200;357;618;1116;850;510;510;1,31;1;1203;636;762;724;691;1,89;1,58;1,66;1,74;0,84;34363;2,89;13,56;37,42;29,11;2949;7,93;32,89;68,6;59,1;13,62;9,86;3,72;1,6;11,83;7,76;34,46;25,66;74,35;77,18;13,95;15,04;11,7;7,78;19,28;10,37;15,59;9,16;5,97;2,4;19;3,32;"Itaperuna";"Campos dos Goytacazes";"Noroeste Fluminense";"Itaperuna"
3300704;"RJ";"Cabo Frio";186227;75,44;24,56;48,77;51,23;95,1981260979895;"De 100 a 500 mil";8,5;15,32;16,85;23,72;24,81;10,8;1464;9,46;31;0,99;183;4,1;486;9,74;764;26,58;59443;72,61;27,35;35093;73,29;26,68;24350;71,64;28,32;9765;61,74;38,14;28359;65,36;34,63;21319;87,24;12,73;14,39;39539;24,62;58,14;2,4;14,84;10186;13,49;42,54;3,84;26,1;14,03;1165;11,24;27,21;4,46;17,42;39,66;59443;63,52;35,19;1,29;688;233;402;750;1417;1033;800;600;1,37;1,33;1525;866;1007;989;900;1,76;1,52;1,54;1,69;0,86;178704;2,29;9,72;31,03;24,45;2500;7,24;25,2;62,36;52,84;8,32;5,02;3,64;1,4;8,05;4,45;21,49;13,21;46,66;63,52;50,08;35,19;3,26;1,29;14,31;7,21;4,82;1,8;1,69;0,45;115;3,33;"Cabo Frio";"Macaé - Rio das Ostras - Cabo Frio";"Baixadas";"Lagos"
3300803;"RJ";"Cachoeiras de Macacu";54273;86,5;13,5;49,86;50,14;99,4415636218588;"De 50 a 100 mil";7,85;14,75;16,86;23,99;24,68;11,87;1514;15,2;51;2,55;189;6,73;548;17,65;726;35,43;17838;75,18;24,78;10896;75,11;24,84;6942;75,3;24,68;2900;64,38;35,52;8551;67,64;32,36;6387;90,18;9,75;15,29;12052;23,96;58,6;2,72;14,71;2819;11,85;42,18;4,43;27,42;14,12;240;12,92;28,33;3,33;12,5;42,92;17838;54,8;39,54;5,66;520;204;340;570;1047;753;650;510;1,39;1,27;1102;728;784;1075;837;1,51;1,4;1,03;1,32;0,93;52407;2,06;10,86;37,13;28,24;3016;3,78;19,23;56,47;44,53;13,97;9,31;4,33;1,43;13,3;7,53;36,93;27,78;50,72;54,8;34,31;39,54;14,97;5,66;20,92;9,88;19,03;6,2;7,75;1,24;32;3,42;"Rio Bonito";"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Macacu-Caceribu"
3300902;"RJ";"Cambuci";14827;76,16;23,84;49,96;50,04;99,8401278976819;"De 10 a 20 mil";6,6;12,85;14,25;22,37;27,06;16,86;1348;9,91;40;1,51;191;4,73;448;9,87;669;28;5109;77,41;22,49;3334;78,73;21,18;1775;74,93;24,96;972;68,62;31,17;2384;71,22;28,78;1753;90,7;9,13;15,58;3476;27,82;57,08;2,19;12,92;762;17,32;39,63;3,02;24,41;15,62;75;20;22,67;2,67;21,33;33,33;5109;51,95;28,4;19,65;459;178;326;510;851;700;510;510;1,22;1;887;569;662;718;508;1,56;1,34;1,23;1,75;0,86;14186;3,52;13,59;42,58;32,03;2723;8,78;24,31;59,31;46,93;17,46;12,69;3,75;1,56;15,66;9,52;41,4;31,4;46,55;51,95;29,46;28,4;23,99;19,65;21,44;9,11;27,46;19,65;9,93;2,46;6;2,74;"Santo Antônio de Pádua";"Campos dos Goytacazes";"Noroeste Fluminense";"Santo Antônio de Pádua"
3300936;"RJ";"Carapebus";13359;78,91;21,09;50,81;49,19;103,29335230738;"De 10 a 20 mil";8,35;14,27;16,88;24,69;24,55;11,27;1891;6,99;68;1,14;285;3,27;715;8,31;823;21,9;4151;66,01;33,97;2744;64,29;35,71;1407;69,37;30,56;619;58,97;41,03;2269;57,38;42,62;1263;84,96;14,96;11,83;2869;21,54;63,4;1,95;13,11;726;16,25;48,48;2,62;21,35;11,29;65;10,77;41,54;4,62;7,69;35,38;4151;38,23;52,69;9,08;537;241;400;650;1105;775;800;510;1,43;1,57;1115;879;888;896;642;1,27;1,26;1,24;1,74;0,99;12732;1,88;8,86;30,66;23,16;1113;2,61;15,09;47,53;37,56;12,72;8,54;3,95;0,93;9,82;5,94;42,19;31,3;22,76;38,23;60,65;52,69;16,59;9,08;14,1;7,11;15,49;8,91;3,85;1,35;11;4,91;"Macaé - Rio das Ostras";"Macaé - Rio das Ostras - Cabo Frio";"Norte Fluminense";"Macaé"
3300951;"RJ";"Comendador Levy Gasparian";8180;96,11;3,89;49,83;50,17;99,3223041658361;"De 5 a 10 mil";8,24;13,89;16,03;22,58;25,67;13,59;1582;9,73;45;1,24;277;5,71;578;10,95;682;27,31;2485;67,77;32,19;1545;66,86;33,14;940;69,26;30,64;348;49,71;50,29;1262;60,22;39,78;875;85,83;14,06;11,51;1647;21,01;60,35;2,85;15,79;516;11,43;40,12;5,23;27,33;15,89;36;16,67;16,67;5,56;19,44;41,67;2485;77,59;19,8;2,62;493;230;364;564;941;670;600;510;1,4;1,18;995;645;748;825;510;1,54;1,33;1,21;1,95;0,86;8052;1,33;8,58;33,74;24,24;225;1,78;20,44;44,44;41,33;9,89;7,36;2,12;1,07;8,11;4,64;32,9;24,46;65,79;77,59;28,37;19,8;5,84;2,62;14,73;9,51;8,09;2,53;2,9;0,3;NA;NA;"Três Rios - Paraíba do Sul";"Petrópolis";"Centro Fluminense";"Três Rios"
3301009;"RJ";"Campos dos Goytacazes";463731;90,29;9,71;48,14;51,86;92,8268414963363;"De 100 a 500 mil";8,39;14,75;17,09;23,55;24,36;11,87;939;5,84;41;1,24;85;1,82;280;5,28;533;19,06;142416;79,46;20,51;83504;78,1;21,87;58912;81,38;18,58;19814;71,77;28,13;69783;73,98;26,02;52819;89,58;10,37;12,55;95195;20,76;60,09;2,24;16,91;26821;9,78;40;3,92;30,35;15,95;2521;9,12;24,59;5,79;18,41;42,09;142416;50,27;46,98;2,76;604;189;340;625;1275;964;700;510;1,32;1,37;1403;768;887;1044;1158;1,83;1,58;1,34;1,21;0,87;441578;3,07;13,95;39,47;31,1;12140;7,47;29,71;66,5;55,44;10,09;6,85;4,23;2,06;9,18;5,81;25,23;17,92;49,57;50,27;41,25;46,98;9,18;2,76;16,62;9,27;10,36;2,68;4,17;0,79;419;5,12;"Campos dos Goytacazes";"Campos dos Goytacazes";"Norte Fluminense";"Campos dos Goytacazes"
3301108;"RJ";"Cantagalo";19830;70,71;29,29;49,58;50,42;98,3339944466481;"De 10 a 20 mil";7,92;14,07;15,86;22,49;25,16;14,49;991;11,73;45;2,41;145;5,7;401;14,54;400;31,35;6423;76,24;23,68;4193;75,53;24,45;2230;77,58;22,24;1049;63,68;36,22;3064;70,23;29,73;2310;89,91;9,96;15,66;4200;24,93;58,67;2,4;14;1109;14,43;41,03;4,51;25,97;14,07;108;14,81;26,85;6,48;14,81;37,04;6423;63,97;27,21;8,81;543;200;350;600;1049;800;600;510;1,31;1,18;1187;593;718;638;1104;2;1,65;1,86;1,08;0,83;19276;2,11;12,34;37,26;29,83;1769;3,28;25,21;59,92;48,67;12,58;9,46;2,63;0,99;11,66;7,08;33,6;26,58;60,51;63,97;21,79;27,21;17,7;8,81;21,85;12,05;20,72;8,48;8,46;3,19;4;1,16;"Nova Friburgo";"Petrópolis";"Centro Fluminense";"Cantagalo-Cordeiro"
3301157;"RJ";"Cardoso Moreira";12600;69,5;30,5;49,76;50,24;99,0445859872611;"De 10 a 20 mil";7,65;13,29;15,87;22,29;24,64;16,26;32426;4,99;1951;1,32;4462;2,14;11024;5,32;14989;17,39;4281;82,36;17,64;2514;83,57;16,43;1767;80,65;19,35;805;74,66;25,34;1957;77,87;22,13;1519;92,23;7,77;16,09;2899;27,73;55,98;2,14;14,14;649;17,87;37,6;4,31;24,19;16,02;44;18,18;38,64;NA;18,18;25;4281;50,5;35,46;14,04;429;170;290;510;877;676;510;510;1,3;1;884;608;697;688;466;1,45;1,27;1,28;1,9;0,87;11902;2,78;14,64;46,71;35,48;1511;3,44;20,85;63,8;47,65;19,69;15,2;6,26;2,55;18,44;12,46;42,36;35,43;39,07;50,5;35,67;35,46;25,26;14,04;27,29;13;27,99;11,63;12,64;2,96;11;5,45;"Campos dos Goytacazes";"Campos dos Goytacazes";"Norte Fluminense";"Campos dos Goytacazes"
3301207;"RJ";"Carmo";17434;77,26;22,74;49,33;50,67;97,3554371422933;"De 10 a 20 mil";7,92;14,06;15,15;23,14;26,03;13,7;617;5,78;29;1,4;76;2,43;242;6,66;270;14,65;5741;76,97;22,99;3152;77,86;22,11;2589;75,9;24,06;925;64,65;35,24;2697;71;29;2119;89,95;10;15,97;3811;24,19;58,51;1,86;15,43;925;13,51;41,08;3,35;26,59;15,46;88;13,64;25;1,14;17,05;43,18;5741;70,3;25,74;3,95;516;204;342;550;978;759;550;510;1,29;1,08;1068;583;707;717;646;1,83;1,51;1,49;1,65;0,83;16821;2,25;11,41;37,09;27,49;707;2,83;13,58;51,91;39,18;13,47;9,91;3,65;1,51;11,32;7,45;37,02;28;38,74;70,3;51,69;25,74;9,58;3,95;20,77;10,53;11,2;3,99;4,23;1,45;13;4,45;"Nova Friburgo";"Petrópolis";"Centro Fluminense";"Cantagalo-Cordeiro"
